com.samsung.shealth.calories_burned,6060029,2
tef_calorie,active_time,pkg_name,update_time,create_time,datauuid,rest_calorie,active_calorie,day_time,deviceuuid
0.0,5693201,com.sec.android.app.shealth,2019-05-25 15:22:15.310,2019-05-06 04:00:00.288,e3821361-ca2e-4d1e-9741-ad3e17818470,1693.2867,392.9973,1557100800000,79R9GKyaj4
0.0,9232219,com.sec.android.app.shealth,2019-05-25 15:22:15.573,2019-05-07 04:00:01.825,374455ba-05ee-4913-b486-17fb120b6db7,1619.0356,665.3375,1557187200000,79R9GKyaj4
0.0,5597134,com.sec.android.app.shealth,2019-05-25 15:22:16.678,2019-05-08 04:00:01.501,e16c43db-9358-4e7e-a083-269833d9283d,1695.3022,380.45364,1557273600000,79R9GKyaj4
0.0,8596886,com.sec.android.app.shealth,2019-05-25 15:22:17.144,2019-05-09 04:00:01.831,53b90fef-f0fd-4e96-99dc-9ae34845d1ab,1632.3654,605.44214,1557360000000,79R9GKyaj4
0.0,7043155,com.sec.android.app.shealth,2019-05-25 15:22:17.248,2019-05-10 04:00:02.731,0e82d8c5-70e0-49eb-91ef-0a1b47e20201,1664.9639,501.776,1557446400000,79R9GKyaj4
0.0,5858998,com.sec.android.app.shealth,2019-05-25 15:22:17.793,2019-05-11 04:00:03.100,a2054f88-d2ac-4575-87a4-2a8761dde03f,1689.8082,391.75555,1557532800000,79R9GKyaj4
0.0,4150696,com.sec.android.app.shealth,2019-05-25 15:22:18.612,2019-05-12 04:00:01.604,3a0199dc-5627-444a-82bc-fbc476bd6f9c,1725.6497,275.83893,1557619200000,79R9GKyaj4
0.0,6954997,com.sec.android.app.shealth,2019-05-25 15:22:19.316,2019-05-13 04:00:02.962,764109ac-4a04-4a01-b144-37ca8cfbd800,1666.8134,457.30896,1557705600000,79R9GKyaj4
0.0,7660198,com.sec.android.app.shealth,2019-05-25 15:22:19.414,2019-05-14 04:00:01.677,695183e2-eecf-4b0e-9f50-19f40799b6f3,1652.0177,554.24005,1557792000000,79R9GKyaj4
0.0,7353702,com.sec.android.app.shealth,2019-05-25 15:22:20.029,2019-05-15 04:00:02.404,fa4a5376-8c5f-40dc-b6c2-fb11fea16fbb,1658.4482,545.1865,1557878400000,79R9GKyaj4
0.0,8158333,com.sec.android.app.shealth,2019-05-25 15:22:20.123,2019-05-16 04:00:01.571,74e4fbde-09f8-449a-a18d-43026e40e7f0,1641.5665,544.14374,1557964800000,79R9GKyaj4
0.0,6161489,com.sec.android.app.shealth,2019-05-25 15:22:20.878,2019-05-17 04:00:04.345,bd3c9037-ccae-4807-a686-56b164baf765,1683.4618,407.4176,1558051200000,79R9GKyaj4
0.0,7468685,com.sec.android.app.shealth,2019-05-25 15:22:21.561,2019-05-18 04:00:01.802,a5ace8f2-31f8-4650-ad57-3239a03a0289,1656.0358,533.78174,1558137600000,79R9GKyaj4
0.0,3374211,com.sec.android.app.shealth,2019-05-25 15:24:28.717,2019-05-19 10:41:53.604,0b27f5ad-b6f7-4262-a37c-75e47faddb39,1741.9409,223.94997,1558224000000,79R9GKyaj4
0.0,2415617,com.sec.android.app.shealth,2019-05-25 15:24:29.168,2019-05-20 04:00:02.469,efec0734-2dc3-4771-aaee-a0415b6fd025,1762.0529,158.12999,1558310400000,79R9GKyaj4
0.0,8876387,com.sec.android.app.shealth,2019-05-25 15:22:23.208,2019-05-21 04:00:03.124,8e8b5afe-ceef-4212-9f2b-125760d0b6c9,1626.5013,640.2197,1558396800000,79R9GKyaj4
0.0,5383732,com.sec.android.app.shealth,2019-05-25 15:22:23.897,2019-05-22 04:00:01.692,40671947-6555-4676-8a47-387c7683a6d1,1699.7798,357.78372,1558483200000,79R9GKyaj4
0.0,12074699,com.sec.android.app.shealth,2019-05-25 15:22:24.479,2019-05-23 04:00:02.196,8d700ca7-96b0-4dac-be88-b1e723738e00,1559.3984,863.3602,1558569600000,79R9GKyaj4
0.0,7122428,com.sec.android.app.shealth,2019-05-25 15:22:25.281,2019-05-24 04:00:02.990,aa127bbc-3fd4-4807-b3b0-fd3a646b8660,1663.3005,504.88724,1558656000000,79R9GKyaj4
