com.samsung.health.food_info,6060029,5
total_fat,potassium,default_number_of_serving_unit,description,carbohydrate,deviceuuid,metric_serving_amount,update_time,serving_description,datauuid,protein,cholesterol,polysaturated_fat,dietary_fiber,calcium,vitamin_a,create_time,unit_count_per_calorie,vitamin_c,custom,metric_serving_unit,monosaturated_fat,saturated_fat,sodium,info_provider,pkg_name,provider_food_id,name,calorie,iron,trans_fat,sugar
5.0,,1,"140 kcal, Per 1 roll",23.0,79R9GKyaj4,44,2019-07-14 13:20:35.709,serving,96bcfbfb-a7ec-4319-8653-3305dc5f6325,2.0,0.0,,1.0,0.0,0.0,2019-07-14 13:20:35.709,0.31428573,0.0,,g,,1.5,340.0,,com.sec.android.app.shealth,fatsecret-200182,Sweet Rolls Cinnamon Rolls with Icing(Pillsbury),140.0,4.0,,9.0
3.69,38.0,1,"339 kcal, Per 100g",0.0,79R9GKyaj4,13,2019-07-14 13:20:35.710,"link (raw dimensions: 4"" long x 7/8"" dia), cooked",c80b7453-f5e7-43b6-b4da-aeb164615dfe,2.53,11.0,0.485,0.0,0.0,0.0,2019-07-14 13:20:35.710,0.29473683,0.0,,g,1.609,1.187,97.0,,com.sec.android.app.shealth,fatsecret-1880,Pork Sausage Patty or Link,44.0,1.0,,0.0
2.09,28.0,1,"541 kcal, Per 100g",0.07,79R9GKyaj4,5,2019-07-14 13:20:35.712,thin slice (yield after cooking),f783879a-7d88-42d7-b18e-944f1c5ebbab,1.85,6.0,0.237,0.0,0.0,0.0,2019-07-14 13:20:35.712,0.18518518,0.0,,g,0.926,0.687,116.0,,com.sec.android.app.shealth,fatsecret-1517,Bacon,27.0,0.0,,0.0
9.0,0.0,1,"180 kcal, Per 1 serving",30.0,79R9GKyaj4,24,2019-07-14 13:20:35.713,serving,5742da0d-84a8-447a-9f0f-b3d383562aa3,2.0,30.0,0.0,0.0,6.0,6.0,2019-07-14 13:20:35.713,,0.0,,oz,0.0,6.0,30.0,,com.sec.android.app.shealth,fatsecret-7711670,Iced Coffee with Cream & Sugar (Medium)(Dunkin' Donuts),180.0,0.0,0.0,26.0
24.48,462.0,1,"471 kcal, Per 211g",49.0,79R9GKyaj4,246,2019-07-14 13:21:32.873,sandwich,5f1a9149-91d1-41fd-97b5-56c5bcb716ca,31.02,71.0,9.457,3.0,16.0,10.0,2019-07-14 13:21:32.873,0.44808742,10.0,,g,7.523,5.321,1087.0,,com.sec.android.app.shealth,fatsecret-2784,"Bacon, Chicken and Tomato Club Sandwich with Lettuce and Spread",549.0,25.0,,5.41
0.0,,1,"110 kcal, Per 1 can",7.0,79R9GKyaj4,12,2019-07-14 13:23:41.358,serving,4eb8fcd8-a8fb-4cf8-851d-b537cd943447,0.9,0.0,,0.0,1.0,0.0,2019-07-14 13:21:32.873,,0.0,,oz,,0.0,11.0,,com.sec.android.app.shealth,fatsecret-234707,Bud Light Beer(Anheuser-Busch),110.0,0.0,,0.0
3.5,,1,"90 kcal, Per 1 serving",0.0,79R9GKyaj4,0,2019-07-14 13:23:41.428,serving,2196ab7a-b864-41a8-956f-fb1f9ca942ca,14.0,0.0,,0.0,,,2019-07-14 13:23:41.428,,,,,,0.5,370.0,,com.sec.android.app.shealth,fatsecret-152271,Maine Lobster Tail(Red Lobster),90.0,,0.0,0.0
3.6,89.0,1,"201 kcal, Per 100g",0.0,79R9GKyaj4,28,2019-07-14 13:23:41.428,oz,4e88c3ba-3986-4d05-9d66-02eef0e1949e,5.76,13.0,0.137,0.0,1.0,0.0,2019-07-14 13:23:41.428,0.497545,0.0,,g,1.542,1.454,15.0,,com.sec.android.app.shealth,fatsecret-37657,Beef Top Sirloin (Trimmed to 1/8" Fat),57.0,2.0,,0.0
3.92,924.0,1,"195 kcal, Per 179g",36.54,79R9GKyaj4,178,2019-07-14 13:23:41.428,"medium (2-1/4"" to 3"" dia, raw)",3b7d13fd-f9ef-4e16-b886-6d4e20746e21,4.32,0.0,1.182,3.7,3.0,4.0,2019-07-14 13:23:41.428,0.9166667,28.0,,g,1.748,0.753,418.0,,com.sec.android.app.shealth,fatsecret-5722,Baked Potato (Peel Eaten),194.0,10.0,,2.03
15.0,0.0,1,"190 kcal, Per 1 cup",6.0,79R9GKyaj4,42,2019-07-14 13:23:41.428,serving,0ad28529-13fb-41e9-8348-c343bb3d2624,10.0,35.0,0.0,2.0,,,2019-07-14 13:23:41.428,0.22105263,,,g,0.0,8.0,350.0,,com.sec.android.app.shealth,fatsecret-16252855,Caprese Salad(Publix),190.0,,0.0,3.0
8.63,395.0,1,"180 kcal, Per 100g",47.67,79R9GKyaj4,158,2019-07-14 13:24:23.468,sundae,0f76d8da-4bb5-42f3-8b1b-a3b37b24d7fc,5.64,21.0,0.807,0.0,21.0,4.0,2019-07-14 13:24:23.468,0.556338,4.0,,g,2.33,5.023,182.0,,com.sec.android.app.shealth,fatsecret-39880,Hot Fudge Sundae,284.0,3.0,,
0.39,422.0,1,"89 kcal, Per 100g",26.95,79R9GKyaj4,118,2019-07-14 13:24:23.468,medium (7" to 7-7/8" long),4f123852-dfb2-4f32-855f-be17afca5bca,1.29,0.0,0.086,3.1,1.0,2.0,2019-07-14 13:24:23.468,1.1222222,17.0,,g,0.038,0.132,1.0,,com.sec.android.app.shealth,fatsecret-5388,Banana,105.0,2.0,,14.43
1.42,86.0,1,"49 kcal, Per 175g",9.14,79R9GKyaj4,177,2019-07-14 13:25:27.157,coffee cup (6 fl oz),6a1ff8f6-0e1c-4e9e-87a0-04e005cf3881,0.38,0.0,0.004,0.0,0.0,0.0,2019-07-14 13:25:27.157,3.7,0.0,,g,0.04,1.295,11.0,,com.sec.android.app.shealth,fatsecret-364186,Iced Coffee with Cream and Sugar,50.0,0.0,,8.51
19.46,327.0,1,"164 kcal, Per 100g",17.61,79R9GKyaj4,190,2019-07-14 13:25:27.157,cup,98735431-2b71-41dd-b580-b0d06526dec4,16.59,61.0,0.57,2.1,4.0,0.0,2019-07-14 13:25:27.157,0.60897434,3.0,,g,9.994,8.208,808.0,,com.sec.android.app.shealth,fatsecret-2423,Hash,312.0,11.0,,0.65
46.0,,1,"810 kcal, Per 1 serving",61.0,79R9GKyaj4,0,2019-07-14 13:25:27.158,serving,dfa27b9f-1a49-4149-86c1-9687f699748c,34.0,365.0,,4.0,20.0,30.0,2019-07-14 13:25:27.158,,25.0,,,,12.0,2170.0,,com.sec.android.app.shealth,fatsecret-4978555,Traditional Eggs Benedict with Hashbrowns(Shari's),810.0,25.0,0.0,8.0
7.34,139.0,1,"277 kcal, Per 100g",54.24,79R9GKyaj4,113,2019-07-14 13:25:47.242,medium,6551a14c-b0cc-40f1-9370-2143f89af195,6.22,34.0,2.819,2.9,6.0,2.0,2019-07-14 13:25:47.242,0.3617021,2.0,,g,2.228,1.579,505.0,,com.sec.android.app.shealth,fatsecret-38993,Blueberry Muffins,313.0,10.0,,22.26
