com.samsung.health.heart_rate,6060029,8
create_time,time_offset,max,heart_beat_count,custom,end_time,heart_rate,deviceuuid,start_time,pkg_name,update_time,min,binning_data,datauuid,comment
2017-12-28 03:15:21.360,UTC-0600,0.0,1,,2017-12-28 03:11:04.440,69.0,3CaTqKloqY,2017-12-28 03:11:04.440,com.sec.android.app.shealth,2017-12-28 03:15:21.360,0.0,,0a0b4ab2-65ca-2610-e8bd-af4189306c63,
2017-12-28 03:21:11.421,UTC-0600,0.0,1,,2017-12-28 03:20:29.341,92.0,3CaTqKloqY,2017-12-28 03:20:29.341,com.sec.android.app.shealth,2017-12-28 03:21:11.421,0.0,,1adf4ceb-f4ba-f7d9-5063-201211609c46,
2017-12-28 04:41:45.564,UTC-0600,0.0,1,,2017-12-28 04:40:29.381,83.0,3CaTqKloqY,2017-12-28 04:40:29.381,com.sec.android.app.shealth,2017-12-28 04:41:45.564,0.0,,5fc7919e-449c-6a62-dfb1-5b90e1c87c9b,
2017-12-28 07:35:41.259,UTC-0600,0.0,1,,2017-12-28 07:30:29.380,54.0,3CaTqKloqY,2017-12-28 07:30:29.380,com.sec.android.app.shealth,2017-12-28 07:35:41.259,0.0,,f8a82c49-7148-c6f0-4f5f-71cddd914daf,
2017-12-28 07:56:58.254,UTC-0600,0.0,1,,2017-12-28 07:40:29.381,55.0,3CaTqKloqY,2017-12-28 07:40:29.381,com.sec.android.app.shealth,2017-12-28 07:56:58.254,0.0,,66d21fab-1ddf-2e96-b415-67b16de02343,
2017-12-28 07:56:58.269,UTC-0600,0.0,1,,2017-12-28 07:50:29.381,54.0,3CaTqKloqY,2017-12-28 07:50:29.381,com.sec.android.app.shealth,2017-12-28 07:56:58.269,0.0,,b2240592-fad2-535e-d18a-e7d995bf1f71,
2017-12-28 08:18:17.295,UTC-0600,0.0,1,,2017-12-28 08:00:52.880,51.0,3CaTqKloqY,2017-12-28 08:00:52.880,com.sec.android.app.shealth,2017-12-28 08:18:17.295,0.0,,8a9f96c2-0eae-5b3a-3a2e-c7ec419c8cfe,
2017-12-28 08:56:36.283,UTC-0600,0.0,1,,2017-12-28 08:40:58.640,57.0,3CaTqKloqY,2017-12-28 08:40:58.640,com.sec.android.app.shealth,2017-12-28 08:56:36.283,0.0,,da166aa6-4b16-0a0d-3f2a-191ecdd1d762,
2017-12-28 08:56:36.302,UTC-0600,0.0,1,,2017-12-28 08:50:29.340,53.0,3CaTqKloqY,2017-12-28 08:50:29.340,com.sec.android.app.shealth,2017-12-28 08:56:36.302,0.0,,e3ca339a-939d-ea5f-e338-729170b2ef27,
2017-12-28 09:17:53.246,UTC-0600,0.0,1,,2017-12-28 09:00:29.341,54.0,3CaTqKloqY,2017-12-28 09:00:29.341,com.sec.android.app.shealth,2017-12-28 09:17:53.246,0.0,,a51f1edf-4583-a2bd-120e-2f3178364607,
2017-12-28 09:17:53.252,UTC-0600,0.0,1,,2017-12-28 09:10:29.341,58.0,3CaTqKloqY,2017-12-28 09:10:29.341,com.sec.android.app.shealth,2017-12-28 09:17:53.252,0.0,,4ac22860-dd18-7417-a0dd-8127bd0a059a,
2017-12-28 09:39:09.251,UTC-0600,0.0,1,,2017-12-28 09:20:29.341,58.0,3CaTqKloqY,2017-12-28 09:20:29.341,com.sec.android.app.shealth,2017-12-28 09:39:09.251,0.0,,8e188fcb-b10a-2085-1f6c-541220b0190c,
2017-12-28 09:39:09.265,UTC-0600,0.0,1,,2017-12-28 09:30:29.341,55.0,3CaTqKloqY,2017-12-28 09:30:29.341,com.sec.android.app.shealth,2017-12-28 09:39:09.265,0.0,,f7e8b270-4334-d98c-b24f-552b15f0855e,
2017-12-28 10:00:27.232,UTC-0600,0.0,1,,2017-12-28 09:40:29.341,55.0,3CaTqKloqY,2017-12-28 09:40:29.341,com.sec.android.app.shealth,2017-12-28 10:00:27.232,0.0,,5cad0638-1cfb-4d2a-b898-deb2e985bc19,
2017-12-28 10:00:27.244,UTC-0600,0.0,1,,2017-12-28 09:50:29.341,54.0,3CaTqKloqY,2017-12-28 09:50:29.341,com.sec.android.app.shealth,2017-12-28 10:00:27.244,0.0,,cf1f32a4-eef5-176e-213b-5fae1045e009,
